charger_pk,weekday,hour,사용빈도수
1,0,0,0.019230769230769232
1,0,1,0.009615384615384616
1,0,2,0.009615384615384616
1,0,3,0.009615384615384616
1,0,4,0.009615384615384616
1,0,5,0.009615384615384616
1,0,6,0.019230769230769232
1,0,7,0.15384615384615385
1,0,8,0.20192307692307693
1,0,9,0.10576923076923077
1,0,10,0.11538461538461539
1,0,11,0.11538461538461539
1,0,12,0.14423076923076922
1,0,13,0.16346153846153846
1,0,14,0.125
1,0,15,0.14423076923076922
1,0,16,0.07692307692307693
1,0,17,0.16346153846153846
1,0,18,0.14423076923076922
1,0,19,0.18269230769230768
1,0,20,0.16346153846153846
1,0,21,0.07692307692307693
1,0,22,0.04807692307692308
1,0,23,0.028846153846153848
1,1,0,0.019230769230769232
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.009615384615384616
1,1,6,0.0
1,1,7,0.10576923076923077
1,1,8,0.3269230769230769
1,1,9,0.25
1,1,10,0.15384615384615385
1,1,11,0.09615384615384616
1,1,12,0.18269230769230768
1,1,13,0.23076923076923078
1,1,14,0.16346153846153846
1,1,15,0.21153846153846154
1,1,16,0.22115384615384615
1,1,17,0.15384615384615385
1,1,18,0.11538461538461539
1,1,19,0.1346153846153846
1,1,20,0.1346153846153846
1,1,21,0.08653846153846154
1,1,22,0.028846153846153848
1,1,23,0.038461538461538464
1,2,0,0.009615384615384616
1,2,1,0.009615384615384616
1,2,2,0.028846153846153848
1,2,3,0.019230769230769232
1,2,4,0.009615384615384616
1,2,5,0.019230769230769232
1,2,6,0.019230769230769232
1,2,7,0.10576923076923077
1,2,8,0.3076923076923077
1,2,9,0.18269230769230768
1,2,10,0.09615384615384616
1,2,11,0.1346153846153846
1,2,12,0.125
1,2,13,0.11538461538461539
1,2,14,0.08653846153846154
1,2,15,0.11538461538461539
1,2,16,0.10576923076923077
1,2,17,0.1346153846153846
1,2,18,0.14423076923076922
1,2,19,0.125
1,2,20,0.15384615384615385
1,2,21,0.10576923076923077
1,2,22,0.07692307692307693
1,2,23,0.009615384615384616
1,3,0,0.019230769230769232
1,3,1,0.009615384615384616
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.009615384615384616
1,3,7,0.07692307692307693
1,3,8,0.18269230769230768
1,3,9,0.19230769230769232
1,3,10,0.11538461538461539
1,3,11,0.09615384615384616
1,3,12,0.08653846153846154
1,3,13,0.125
1,3,14,0.1346153846153846
1,3,15,0.1346153846153846
1,3,16,0.16346153846153846
1,3,17,0.16346153846153846
1,3,18,0.20192307692307693
1,3,19,0.125
1,3,20,0.11538461538461539
1,3,21,0.08653846153846154
1,3,22,0.0673076923076923
1,3,23,0.04807692307692308
1,4,0,0.028846153846153848
1,4,1,0.009615384615384616
1,4,2,0.009615384615384616
1,4,3,0.009615384615384616
1,4,4,0.009615384615384616
1,4,5,0.009615384615384616
1,4,6,0.028846153846153848
1,4,7,0.08653846153846154
1,4,8,0.11538461538461539
1,4,9,0.04807692307692308
1,4,10,0.08653846153846154
1,4,11,0.10576923076923077
1,4,12,0.0673076923076923
1,4,13,0.11538461538461539
1,4,14,0.10576923076923077
1,4,15,0.07692307692307693
1,4,16,0.04807692307692308
1,4,17,0.14423076923076922
1,4,18,0.14423076923076922
1,4,19,0.1346153846153846
1,4,20,0.09615384615384616
1,4,21,0.11538461538461539
1,4,22,0.10576923076923077
1,4,23,0.08653846153846154
1,5,0,0.028846153846153848
1,5,1,0.019230769230769232
1,5,2,0.028846153846153848
1,5,3,0.038461538461538464
1,5,4,0.028846153846153848
1,5,5,0.009615384615384616
1,5,6,0.009615384615384616
1,5,7,0.038461538461538464
1,5,8,0.04807692307692308
1,5,9,0.09615384615384616
1,5,10,0.125
1,5,11,0.11538461538461539
1,5,12,0.125
1,5,13,0.17307692307692307
1,5,14,0.14423076923076922
1,5,15,0.07692307692307693
1,5,16,0.11538461538461539
1,5,17,0.1346153846153846
1,5,18,0.125
1,5,19,0.09615384615384616
1,5,20,0.14423076923076922
1,5,21,0.15384615384615385
1,5,22,0.07692307692307693
1,5,23,0.07692307692307693
1,6,0,0.0673076923076923
1,6,1,0.04807692307692308
1,6,2,0.028846153846153848
1,6,3,0.019230769230769232
1,6,4,0.019230769230769232
1,6,5,0.009615384615384616
1,6,6,0.009615384615384616
1,6,7,0.009615384615384616
1,6,8,0.09615384615384616
1,6,9,0.21153846153846154
1,6,10,0.1346153846153846
1,6,11,0.14423076923076922
1,6,12,0.07692307692307693
1,6,13,0.11538461538461539
1,6,14,0.16346153846153846
1,6,15,0.125
1,6,16,0.07692307692307693
1,6,17,0.08653846153846154
1,6,18,0.07692307692307693
1,6,19,0.10576923076923077
1,6,20,0.15384615384615385
1,6,21,0.04807692307692308
1,6,22,0.019230769230769232
1,6,23,0.019230769230769232
10,0,0,0.009615384615384616
10,0,1,0.019230769230769232
10,0,2,0.0
10,0,3,0.0
10,0,4,0.019230769230769232
10,0,5,0.057692307692307696
